id,prediction
flagellates,3
adjudicates,3
crowdfunded,3
easternmost,4
dispatchers,3
fascination,3
metastasize,3
injunctions,1
backstroked,3
weathercock,3
tightfisted,3
anthologist,3
roughhouses,1
endlessness,3
mismatching,2
prohibitory,3
stateliness,1
populations,3
orthodoxies,3
pigeonholes,1
brobdingnag,3
autographed,3
denigration,3
doctrinaire,3
newsletters,1
safeguarded,3
condominium,4
coexistence,3
specifiable,3
undermining,3
deliciously,3
polymorphic,3
triplicates,3
judiciously,3
infantrymen,3
weightiness,3
testimonial,4
steadfastly,1
technocracy,3
perceivable,3
mockingbird,3
camerawoman,3
privileging,3
calibrating,2
forefingers,3
jinrikishas,4
misspending,1
insincerity,3
bridegrooms,3
brainwashes,1
incitements,3
instructive,3
addressable,1
mainsprings,3
pocketbooks,3
brusqueness,3
indonesians,1
clapboarded,3
australasia,3
necessitate,4
metabolisms,3
satirically,4
conferments,2
descendents,3
correctable,3
forethought,3
contaminant,3
expenditure,1
hertzsprung,3
philanderer,3
ameliorates,3
reproachful,2
ahmadinejad,3
cannibalism,2
backslidden,3
stalagmites,1
northeaster,3
outsmarting,1
subjugating,3
inferiority,1
rediscovers,1
jackrabbits,4
pyromaniacs,4
frontrunner,3
slenderized,4
chairperson,3
deliverance,4
dismantling,3
copywriters,3
impediments,2
regularizes,3
facilitates,2
hobbyhorses,2
opinionated,4
abbreviates,3
acquisition,3
sorrowfully,2
multiplexed,2
adventurous,3
overexposed,4
versatility,3
pentathlons,3
concomitant,3
roddenberry,4
discounting,1
tenaciously,1
questioners,3
fussbudgets,4
diversified,2
geographers,3
paramedical,4
commercials,1
tourniquets,3
misapplying,1
bittersweet,3
sleepyheads,4
ladyfingers,3
conciliator,3
mythologies,1
remunerated,2
overburdens,4
indomitably,4
repatriates,3
equilibrium,3
arbitrarily,3
emulsifying,1
prostrating,2
beautifying,3
elizabethan,1
strangulate,1
inhabitable,1
typecasting,1
christening,3
invocations,3
standoffish,3
capillaries,3
translucent,1
deregulates,2
alternation,1
circulating,3
frivolities,3
credentials,3
astigmatism,3
masquerades,3
countryside,1
researchers,3
separations,1
secularized,1
pedestrians,1
predictably,2
perpetuated,3
exacerbates,2
sterilizers,3
transverses,1
shibboleths,1
boondoggles,3
redeveloped,1
naturalizes,3
yevtushenko,3
michigander,3
streamlines,3
imperfectly,2
homogenizes,4
afterburner,3
contractual,3
incinerator,3
heartlessly,3
admonitions,3
knickknacks,3
sanctuaries,3
elongations,3
employments,3
albatrosses,3
prospecting,1
windowsills,3
pompousness,3
duplicators,3
fertilizing,3
expeditions,3
nominatives,3
entrenching,3
reassigning,3
substitutes,3
preventives,3
cantilevers,3
proclaiming,3
underhanded,3
wildflowers,4
alternating,3
perspicuity,1
nonresident,4
dissections,1
macroscopic,3
congenially,2
intricately,4
extractions,4
cordilleras,1
auctioneers,3
allegiances,3
exaggerated,1
oscillation,1
stultifying,3
ethnologist,2
syncopating,3
selectivity,3
bellicosity,3
expediences,3
phonologist,3
robocalling,1
curiosities,1
forgetfully,3
renaissance,3
intertwined,3
cottonwoods,1
undervalued,3
recommended,1
hairstylist,3
constricted,3
uncertainly,1
mistrustful,1
cranberries,3
frustrating,1
imperialism,3
cromwellian,3
hammerstein,3
diffraction,3
pronouncing,1
salaciously,3
unfavorably,1
worldliness,1
unfettering,3
remarriages,1
moussorgsky,3
transitives,3
colonialist,1
replaceable,1
retaliatory,3
apologizing,3
archbishops,3
inflammable,3
geophysical,1
undervalues,4
compactness,3
deflections,4
childproofs,4
retrorocket,1
woodworking,4
intolerably,1
equivalence,3
slenderizes,4
guttersnipe,3
supermarket,3
demarcation,3
combustible,3
regenerated,1
respiratory,3
hemorrhoids,3
duplicating,3
refocussing,3
mainstreams,2
realization,1
inseparably,4
nonstandard,1
destructing,1
australians,3
melodically,3
proterozoic,3
graphically,2
commonplace,3
achievement,3
hunchbacked,3
simulcasted,3
omniscience,3
interdicted,1
exquisitely,1
dissolutely,1
instability,3
magisterial,3
stubbornest,3
theoretical,1
persecutors,3
empathizing,1
correlative,2
succinctest,3
unchristian,4
econometric,3
immobilizes,3
conditional,3
encumbering,3
rollerblade,3
legislative,3
designating,3
executioner,1
adjudicated,2
dexterously,3
nominations,3
destruction,2
quintupling,4
unfurnished,3
unwholesome,3
sidetracked,3
centralized,3
caustically,3
polynesians,3
outpatients,3
anaesthesia,3
penetration,4
rubberizing,2
intercessor,3
supplicants,2
charlestons,3
suffocation,3
extravagant,3
forevermore,3
syphilitics,2
backslashes,3
deescalated,3
delinquency,3
scarborough,4
swellheaded,3
backpackers,2
quarterlies,3
disruptions,1
frivolously,1
novosibirsk,4
centenaries,1
safekeeping,3
transposing,2
understated,3
eigenvalues,3
christopher,3
startlingly,4
overwrought,1
verdigrised,3
repossessed,1
underskirts,3
deleveraged,3
chiaroscuro,4
woodcarving,3
massiveness,1
edification,3
conurbation,1
destination,3
variegating,3
centimeters,3
dislocating,4
reservation,3
connotative,3
thoughtless,3
backstories,3
transfixing,1
disembodied,2
wheelchairs,3
heavenwards,3
disarranged,3
sensitivity,3
culminating,1
naughtiness,3
irrelevancy,3
accelerated,2
pediatrists,3
supplicates,1
reprocessed,3
polytheists,2
castigation,3
misbegotten,4
rudimentary,3
interlacing,3
unscrambled,3
conservator,3
freelancing,4
deprecating,3
parentheses,3
nonabrasive,3
snowmobiled,3
crawlspaces,1
restfulness,3
leatherneck,3
disappoints,3
microfiches,3
prizefights,3
evangelical,3
instigation,3
panamanians,3
underexpose,3
figureheads,1
unannounced,3
promisingly,1
maidservant,3
macedonians,1
untouchable,1
flannelling,3
standardize,3
intensively,3
transcended,3
distinction,3
nonexistent,3
crystalized,3
honeycombed,4
deforesting,3
stalemating,3
correlation,3
blacklisted,3
carbonating,3
displayable,3
interlinked,1
convalesces,3
deprecatory,3
chanticleer,3
viewfinders,1
mishandling,3
interbreeds,1
thicknesses,3
malingering,1
cornflowers,1
vertebrates,3
evangelizes,1
taskmasters,3
passionless,1
proficients,3
misconceive,1
configuring,3
consequence,1
overcrowded,3
programming,3
transaction,3
keyboarders,3
encyclicals,4
unjustified,1
snowboarded,3
overgrowing,2
proportions,3
amalgamates,3
yellowstone,3
alternately,3
reassessing,4
misanthropy,4
legislation,1
haberdasher,3
accelerator,1
overreached,3
tempestuous,1
guadalajara,4
overthought,3
amorousness,3
deregulated,2
residencies,3
bobsledding,1
platforming,3
overextends,3
electrifies,3
factorizing,3
incremental,3
settlements,2
swordfishes,3
reactivates,1
armageddons,3
unbeknownst,1
herzegovina,4
odoriferous,3
captivating,4
reorganized,2
discourages,3
speculation,3
salmonellas,3
distinctive,3
crossbreeds,3
centennials,1
resurfacing,3
expatriates,4
counterpart,1
governments,3
backgrounds,3
indulgently,1
fomentation,3
detonations,3
snowblowers,3
handsprings,1
contradicts,3
influential,3
schismatics,3
cleanliness,4
discrepancy,3
introverted,1
obscurities,3
competences,3
outstations,3
cancelation,1
moneymaking,3
stonewalled,3
legitimates,1
typesetters,3
invigorated,3
auditioning,3
splotchiest,3
obstruction,1
pilgrimages,3
chamberlain,1
responsibly,3
convocation,3
nationalism,1
hypothalami,3
drawstrings,3
allocations,1
endearingly,3
millenniums,3
contributed,3
intolerable,3
numerically,3
protections,4
breadfruits,4
unhappiness,4
pomegranate,3
confederacy,3
suggestible,3
chauvinists,1
rastafarian,3
perceptibly,3
shirtwaists,4
assemblyman,3
receptacles,3
originating,1
foreclosing,3
narcissuses,3
powerhouses,3
antibiotics,3
infiltrated,2
birdbrained,1
asseverated,3
discontents,3
cultivating,3
casseroling,3
unavoidable,3
dilapidated,1
newscasters,2
percentiles,3
rationalist,1
unregulated,3
impregnates,1
memorandums,3
calvinistic,3
symptomatic,3
marlborough,4
diminuendos,4
proletariat,3
dromedaries,1
fingerboard,1
unobtrusive,1
voraciously,3
inoculating,3
visionaries,2
barbarously,3
measurement,3
hippocrates,3
algonquians,3
horseradish,3
honorariums,3
cataleptics,3
readerships,3
conscripted,3
coordinated,3
subtotaling,3
convictions,3
descriptors,3
unknowingly,1
postulating,2
undergrowth,3
reemphasize,3
retroactive,3
pacifically,1
outclassing,4
segregating,3
bookmarking,1
malpractice,1
aberrations,4
resistances,3
flightiness,1
romanticist,3
unfulfilled,3
association,1
refurbished,3
nightshirts,1
galvanizing,4
commendably,3
brandishing,3
passageways,2
politicizes,2
springfield,1
cinderellas,3
temptations,3
benefaction,2
undeserving,3
bourgeoisie,1
surplussing,3
plagiarized,1
ornithology,3
suffragette,3
surmounting,3
accountancy,4
curriculums,3
fabrication,2
lubavitcher,3
innovations,3
shouldering,3
trustworthy,3
propellents,3
princeliest,3
predictions,1
liberalizes,3
wheelwright,3
blueprinted,3
iconoclasts,3
examination,3
stereoscope,3
wingspreads,3
semimonthly,3
matchmaking,1
participate,3
percolators,1
broadcasted,1
restrictive,3
emboldening,1
subsidizing,3
recuperated,3
healthfully,3
impropriety,3
filibusters,1
worshippers,3
fossilizing,3
persecution,3
greengrocer,3
mythologist,1
townspeople,3
italicizing,4
schoolrooms,3
roughhoused,3
accentuated,3
tremulously,3
cosmetology,3
willingness,1
bricklayers,3
pointlessly,3
sportswomen,1
seventieths,2
groundswell,3
footlockers,3
perforating,1
repetitious,3
stagflation,3
tachometers,3
shipwrecked,3
pasteurizes,1
leaseholder,4
maddeningly,3
citizenship,3
snowmobiles,1
blockhouses,4
catechizing,1
